A,0,0,i0,3,6,A3
A,0,1,i1,2,6,A2
A,0,2,i2,1,6,A1
A,0,3,i3,0,6,A0
A,0,4,i4,0,7,A7
A,0,5,i5,0,8,A6
A,0,6,i6,0,9,A5
A,0,7,i7,0,10,A4
A,1,0,i8,1,7,A11
A,1,1,i9,1,8,A10
A,1,2,i10,1,9,A9
A,1,3,i11,1,10,A8
A,1,4,i12,2,7,A15
A,1,5,i13,2,8,A14
A,1,6,i14,2,9,A13
A,1,7,i15,2,10,A12
A,2,0,i16,3,7,A19
A,2,1,i17,3,8,A18
A,2,2,i18,3,9,A17
A,2,3,i19,3,10,A16
A,2,4,i20,4,7,A23
A,2,5,i21,4,8,A22
A,2,6,i22,4,9,A21
A,2,7,i23,4,10,A20
A,3,0,i24,5,7,A27
A,3,1,i25,5,8,A26
A,3,2,i26,5,9,A25
A,3,3,i27,5,10,A24
A,3,4,i28,6,7,A31
A,3,5,i29,6,8,A30
A,3,6,i30,6,9,A29
A,3,7,i31,6,10,A28
A,4,0,i32,7,7,A35
A,4,1,i33,7,8,A34
A,4,2,i34,7,9,A33
A,4,3,i35,7,10,A32
A,4,4,i36,8,7,A39
A,4,5,i37,8,8,A38
A,4,6,i38,8,9,A37
A,4,7,i39,8,10,A36
B,0,0,i40,9,7,A43
B,0,1,i41,9,8,A42
B,0,2,i42,9,9,A41
B,0,3,i43,9,10,A40
B,0,4,i44,10,7,A47
B,0,5,i45,10,8,A46
B,0,6,i46,10,9,A45
B,0,7,i47,10,10,A44
B,1,0,i48,11,7,A51
B,1,1,i49,11,8,A50
B,1,2,i50,11,9,A49
B,1,3,i51,11,10,A48
B,1,4,i52,12,7,A55
B,1,5,i53,12,8,A54
B,1,6,i54,12,9,A53
B,1,7,i55,12,10,A52
B,2,0,i56,13,7,A59
B,2,1,i57,13,8,A58
B,2,2,i58,13,9,A57
B,2,3,i59,13,10,A56
B,2,4,i60,14,7,A63
B,2,5,i61,14,8,A62
B,2,6,i62,14,9,A61
B,2,7,i63,14,10,A60
B,3,0,i64,15,7,A67
B,3,1,i65,15,8,A66
B,3,2,i66,15,9,A65
B,3,3,i67,15,10,A64
B,3,4,i68,16,7,A71
B,3,5,i69,16,8,A70
B,3,6,i70,16,9,A69
B,3,7,i71,16,10,A68
B,4,0,i72,17,7,A75
B,4,1,i73,17,8,A74
B,4,2,i74,17,9,A73
B,4,3,i75,17,10,A72
B,4,4,i76,18,7,A79
B,4,5,i77,18,8,A78
B,4,6,i78,18,9,A77
B,4,7,i79,18,10,A76
C,0,0,i80,19,7,A83
C,0,1,i81,19,8,A82
C,0,2,i82,19,9,A81
C,0,3,i83,19,10,A80
C,0,4,i84,20,7,A87
C,0,5,i85,20,8,A86
C,0,6,i86,20,9,A85
C,0,7,i87,20,10,A84
C,1,0,i88,21,7,A91
C,1,1,i89,21,8,A90
C,1,2,i90,21,9,A89
C,1,3,i91,21,10,A88
C,1,4,i92,22,7,A95
C,1,5,i93,22,8,A94
C,1,6,i94,22,9,A93
C,1,7,i95,22,10,A92
C,2,0,i96,23,7,A99
C,2,1,i97,23,8,A98
C,2,2,i98,23,9,A97
C,2,3,i99,23,10,A96
C,2,4,i100,24,7,A103
C,2,5,i101,24,8,A102
C,2,6,i102,24,9,A101
C,2,7,i103,24,10,A100
C,3,0,i104,25,7,A107
C,3,1,i105,25,8,A106
C,3,2,i106,25,9,A105
C,3,3,i107,25,10,A104
C,3,4,i108,26,7,A111
C,3,5,i109,26,8,A110
C,3,6,i110,26,9,A109
C,3,7,i111,26,10,A108
C,4,0,i112,27,7,A115
C,4,1,i113,27,8,A114
C,4,2,i114,27,9,A113
C,4,3,i115,27,10,A112
C,4,4,i116,28,7,A119
C,4,5,i117,28,8,A118
C,4,6,i118,28,9,A117
C,4,7,i119,28,10,A116
D,0,0,i122,29,9,A121
D,0,1,i123,29,10,A120
D,0,2,i120,29,7,A123
D,0,3,i121,29,8,A122
D,0,4,i124,26,6,A127
D,0,5,i125,27,6,A126
D,0,6,i126,28,6,A125
D,0,7,i127,29,6,A124
D,1,0,j0,26,5,A131
D,1,1,j1,27,5,A130
D,1,2,j2,28,5,A129
D,1,3,j3,29,5,A128
D,1,4,j4,29,4,A135
D,1,5,j5,29,3,A134
D,1,6,j6,29,2,A133
D,1,7,j7,29,1,A132
D,2,0,j8,28,4,A139
D,2,1,j9,28,3,A138
D,2,2,j10,28,2,A137
D,2,3,j11,28,1,A136
D,2,4,j12,27,4,A143
D,2,5,j13,27,3,A142
D,2,6,j14,27,2,A141
D,2,7,j15,27,1,A140
D,3,0,j16,26,4,A147
D,3,1,j17,26,3,A146
D,3,2,j18,26,2,A145
D,3,3,j19,26,1,A144
D,3,4,j20,25,4,A151
D,3,5,j21,25,3,A150
D,3,6,j22,25,2,A149
D,3,7,j23,25,1,A148
D,4,0,j24,24,4,A155
D,4,1,j25,24,3,A154
D,4,2,j26,24,2,A153
D,4,3,j27,24,1,A152
D,4,4,j28,23,4,A159
D,4,5,j29,23,3,A158
D,4,6,j30,23,2,A157
D,4,7,j31,23,1,A156
E,0,0,j32,22,4,A163
E,0,1,j33,22,3,A162
E,0,2,j34,22,2,A161
E,0,3,j35,22,1,A160
E,0,4,j36,21,4,A167
E,0,5,j37,21,3,A166
E,0,6,j38,21,2,A165
E,0,7,j39,21,1,A164
E,1,0,j40,20,4,A171
E,1,1,j41,20,3,A170
E,1,2,j42,20,2,A169
E,1,3,j43,20,1,A168
E,1,4,j44,19,4,A175
E,1,5,j45,19,3,A174
E,1,6,j46,19,2,A173
E,1,7,j47,19,1,A172
E,2,0,j48,18,4,A179
E,2,1,j49,18,3,A178
E,2,2,j50,18,2,A177
E,2,3,j51,18,1,A176
E,2,4,j52,17,4,A183
E,2,5,j53,17,3,A182
E,2,6,j54,17,2,A181
E,2,7,j55,17,1,A180
E,3,0,j56,16,4,A187
E,3,1,j57,16,3,A186
E,3,2,j58,16,2,A185
E,3,3,j59,16,1,A184
E,3,4,j60,15,4,A191
E,3,5,j61,15,3,A190
E,3,6,j62,15,2,A189
E,3,7,j63,15,1,A188
E,4,0,j64,14,4,A195
E,4,1,j65,14,3,A194
E,4,2,j66,14,2,A193
E,4,3,j67,14,1,A192
E,4,4,j68,13,4,A199
E,4,5,j69,13,3,A198
E,4,6,j70,13,2,A197
E,4,7,j71,13,1,A196
F,0,0,j72,12,4,A203
F,0,1,j73,12,3,A202
F,0,2,j74,12,2,A201
F,0,3,j75,12,1,A200
F,0,4,j76,11,4,A207
F,0,5,j77,11,3,A206
F,0,6,j78,11,2,A205
F,0,7,j79,11,1,A204
F,1,0,j80,10,4,A211
F,1,1,j81,10,3,A210
F,1,2,j82,10,2,A209
F,1,3,j83,10,1,A208
F,1,4,j84,9,4,A215
F,1,5,j85,9,3,A214
F,1,6,j86,9,2,A213
F,1,7,j87,9,1,A212
F,2,0,j88,8,4,A219
F,2,1,j89,8,3,A218
F,2,2,j90,8,2,A217
F,2,3,j91,8,1,A216
F,2,4,j92,7,4,A223
F,2,5,j93,7,3,A222
F,2,6,j94,7,2,A221
F,2,7,j95,7,1,A220
F,3,0,j96,6,4,A227
F,3,1,j97,6,3,A226
F,3,2,j98,6,2,A225
F,3,3,j99,6,1,A224
F,3,4,j100,5,4,A231
F,3,5,j101,5,3,A230
F,3,6,j102,5,2,A229
F,3,7,j103,5,1,A228
F,4,0,j104,4,4,A235
F,4,1,j105,4,3,A234
F,4,2,j106,4,2,A233
F,4,3,j107,4,1,A232
F,4,4,j108,3,4,A239
F,4,5,j109,3,3,A238
F,4,6,j110,3,2,A237
F,4,7,j111,3,1,A236
G,0,0,j112,2,4,A243
G,0,1,j113,2,3,A242
G,0,2,j114,2,2,A241
G,0,3,j115,2,1,A240
G,0,4,j116,1,4,A247
G,0,5,j117,1,3,A246
G,0,6,j118,1,2,A245
G,0,7,j119,1,1,A244
G,1,0,j120,0,4,A251
G,1,1,j121,0,3,A250
G,1,2,j122,0,2,A249
G,1,3,j123,0,1,A248
G,1,4,j124,3,5,A255
G,1,5,j125,2,5,A254
G,1,6,j126,1,5,A253
G,1,7,j127,0,5,A252
G,2,0,G0,4,6,GND
,,,G1,5,6,GND
,,,G12,16,6,GND
,,,G13,17,6,GND
,,,G14,18,6,GND
,,,G15,19,6,GND
,,,G16,20,6,GND
,,,G17,21,6,GND
,,,G18,22,6,GND
,,,G19,23,6,GND
,,,G2,6,6,GND
,,,G20,24,6,GND
,,,G21,25,6,GND
,,,G22,25,5,GND
,,,G23,24,5,GND
,,,G24,23,5,GND
,,,G25,22,5,GND
,,,G26,21,5,GND
,,,G27,20,5,GND
,,,G28,19,5,GND
,,,G29,18,5,GND
,,,G3,7,6,GND
,,,G30,17,5,GND
,,,G31,16,5,GND
,,,G34,13,5,GND
,,,G35,12,5,GND
,,,G36,11,5,GND
,,,G37,10,5,GND
,,,G38,9,5,GND
,,,G39,8,5,GND
,,,G4,8,6,GND
,,,G40,7,5,GND
,,,G41,6,5,GND
,,,G42,5,5,GND
,,,G43,4,5,GND
,,,G5,9,6,GND
,,,G6,10,6,GND
,,,G7,11,6,GND
,,,G8,12,6,GND
,,,G9,13,6,GND
